Input feed cut file input-unit/svv-dual-band-2.204GHz-rhcp.cut, CF(dB)=-0.30, complex field for theta,phi degrees
    THETA    PHI        POL-1,real         POL-1,imag         POL-2,real         POL-2,imag
   73.00     0.00       4.952541E-01       4.479912E-01      -3.697345E-02       8.221034E-02
   74.00     0.00       4.835299E-01       4.333657E-01      -3.122430E-02       8.193824E-02
   75.00     0.00       4.723943E-01       4.192158E-01      -2.599672E-02       8.224765E-02
   76.00     0.00       4.617342E-01       4.054926E-01      -2.152795E-02       8.279893E-02
   77.00     0.00       4.515714E-01       3.921967E-01      -1.784017E-02       8.321319E-02
   78.00     0.00       4.418322E-01       3.792938E-01      -1.478400E-02       8.312480E-02
   79.00     0.00       4.324963E-01       3.667594E-01      -1.204391E-02       8.230281E-02
   80.00     0.00       4.235447E-01       3.545795E-01      -9.233661E-03       8.070759E-02
   81.00     0.00       4.149540E-01       3.427455E-01      -6.002150E-03       7.850155E-02
   82.00     0.00       4.066938E-01       3.312493E-01      -2.131651E-03       7.600472E-02
   83.00     0.00       3.986891E-01       3.200496E-01       2.386889E-03       7.359159E-02
   84.00     0.00       3.909864E-01       3.091389E-01       7.395054E-03       7.162371E-02
   85.00     0.00       3.834962E-01       2.984777E-01       1.254056E-02       7.029483E-02
   86.00     0.00       3.761946E-01       2.879920E-01       1.742715E-02       6.959848E-02
   87.00     0.00       3.690956E-01       2.775909E-01       2.171743E-02       6.932021E-02
   88.00     0.00       3.622678E-01       2.671920E-01       2.523502E-02       6.909805E-02
   89.00     0.00       3.558325E-01       2.567588E-01       2.802007E-02       6.852924E-02
   90.00     0.00       3.498949E-01       2.463188E-01       3.031181E-02       6.728164E-02
   91.00     0.00       3.446630E-01       2.360064E-01       3.251241E-02       6.522171E-02
   92.00     0.00       3.401156E-01       2.260556E-01       3.501238E-02       6.242763E-02
   93.00     0.00       3.361557E-01       2.166898E-01       3.811144E-02       5.918052E-02
   94.00     0.00       3.325623E-01       2.080737E-01       4.191517E-02       5.587886E-02
   95.00     0.00       3.290360E-01       2.002468E-01       4.630172E-02       5.291801E-02
